id,house_ln,house_la,subway,bus_stop,park,scenery,borough,room_type,accommodates,bathroom,bedroom,beds,bed_type,guests,num_of_review,review_score,Entire_home,Private_room,Shared_room,crime_rate,host_response_time,response_time_num,host_response_rate,superhost,host_neighborhood,daily_price,weekly_price,monthly_price,Central_Park,Van_Cortlandt,Flushing_Meadows,Prospect_Park,Washington_Square_Park,Bronx_Park,Pelham_Bay_Park,Floyd_Bennet_Field,Jamaica_Bay,Jacob_Riis_Park,Fort_Tilden,Greenbelt,The_Metropolitan_Museum_of_Art,statue_of_liberty,Empire_state_Building,American_Museum_of_Natual_History,Museum_of_Modern_Art,Times_Square,One_world_trade_cente,Grand_Centreal_Terminal,intrepid_sea_air,Fifth_Avenue,Brooklyn_Bridge,Wall_Street,Flatiron_Building,New_York_University,Broadway,China_Town,New_york_Public_Library,West_Point_Academy,Columbia_University,Madison_Square_Garden,madame_tussauds_new_york,National_September_11_Memorial_Museum,Manhattan_Skyline,United_Nations_Headquarters,SOHO,St_Patrick_Cathedral,High_Line_Park,Top_of_the_Rock,sub_dist_1,sub_dist_2,sub_dist_3,bus_dist_1,bus_dist_2,bus_dist_3,Brooklyn,Manhattan,Queens,Staten,Bronx,ave_price,availability,Price_avg,True_price,Predict_price,errors
12409364,-73.97746,40.74462,1,14,1,22,Manhattan,Entire home/apt,4,1,1,2,Real Bed,1,0,0,1,0,0,1.1501,,0,0,0,Kips Bay,350,,,4.566,18.706,11.528,8.818,2.271,14.504,20.17,17.723,18.801,21.694,21.613,13.99,4.037,8.36,0.818,4.099,1.875,1.714,4.634,0.902,2.983,3.406,4.557,5.042,1.104,2.369,5.15,3.661,1.033,70.661,7.108,1.319,1.63,4.727,2.078,1.104,4.019,1.547,243.42,1.626,0.421,0.599,0.767,0.099,0.117,0.17,0,1,0,0,0,87.5,0,87.5,350,204.97917,-145.0208282470703
17991699,-73.98043,40.78913,1,11,1,18,Manhattan,Entire home/apt,8,2,3,4,Real Bed,1,0,0,1,0,0,0.7795,within an hour,3,1,0,Upper West Side,317,,,1.117,14.475,12.981,13.773,6.638,11.066,17.228,22.445,23.331,26.215,26.403,18.093,1.806,12.351,4.502,1.041,3.083,3.385,8.909,4.057,3.203,2.075,9.299,9.548,5.396,6.784,0.519,8.343,4.002,65.718,2.54,4.484,3.715,9.053,2.878,4.341,0.969,3.413,238.477,3.334,0.359,0.579,0.866,0.305,0.317,0.326,0,1,0,0,0,39.625,0,39.625,317,439.239,122.239013671875
32740475,-73.97612,40.74835,5,15,1,21,Manhattan,Entire home/apt,2,1,1,1,Real Bed,2,7,94,1,0,0,1.1501,within an hour,3,0.96,0,Financial District,271,,,4.138,18.282,11.442,9.224,2.644,14.102,19.798,18.064,19.108,22.001,21.969,14.392,3.607,8.744,0.786,3.677,1.466,1.397,5.026,0.495,2.769,2.976,4.985,5.456,1.4,2.752,4.731,4.083,0.746,70.244,6.679,1.313,1.407,5.125,1.672,0.777,3.605,1.136,243.003,1.237,0.343,0.386,0.555,0.054,0.197,0.315,0,1,0,0,0,135.5,1,135.5,271,168.01653,-102.98347473144531
254168,-73.95316,40.73793,0,1,1,16,Brooklyn,Private room,6,1,2,3,Real Bed,4,7,100,0,1,0,0.9601,within an hour,3,0.99,0,Greenpoint,599,,,5.397,18.669,9.47,8.171,3.805,14.073,19.357,16.322,17.198,20.085,20.303,14.76,4.681,9.415,2.976,5.125,3.335,3.562,5.773,2.608,5.003,4.154,5.102,5.883,3.101,3.83,6.162,4.463,2.981,71.397,7.78,3.493,3.652,5.806,3.527,1.928,5.176,3.057,244.127,3.247,0.523,0.596,0.739,0.499,0.811,0.837,1,0,0,0,0,99.83333333,1,99.83333333333333,599,308.4434,-290.5566101074219
28439263,-73.95054,40.6692,3,13,1,0,Brooklyn,Entire home/apt,16,6,10,13,Real Bed,16,0,0,1,0,0,0.8737,within a few hours,2,0.93,1,Crown Heights,785,,,12.973,26.009,12.128,1.671,7.906,21.1,25.649,9.187,10.619,13.457,12.964,10.979,12.291,8.236,9.329,12.621,10.513,10.391,7.184,9.555,11.443,11.726,5.716,6.395,8.652,7.77,13.683,6.422,9.712,79.041,15.416,9.598,10.221,7.026,10.722,9.243,12.607,10.184,251.766,10.298,0.072,0.147,0.661,0.024,0.191,0.195,1,0,0,0,0,49.0625,1,49.0625,785,917.3019,132.3018798828125
24593351,-73.98427,40.7452,3,18,1,23,Manhattan,Entire home/apt,4,1,1,2,Real Bed,2,14,100,1,0,0,9.9753,within a day,1,1,0,Midtown,400,,,4.635,18.891,12.104,8.943,1.941,14.794,20.534,18.012,19.147,22.038,21.87,13.71,4.183,8.033,0.414,4.121,1.894,1.525,4.336,1.029,2.586,3.553,4.442,4.825,0.646,2.062,5.143,3.506,0.902,70.609,7.168,0.795,1.305,4.446,2.074,1.548,3.998,1.598,243.368,1.599,0.209,0.237,0.374,0.034,0.169,0.24,0,1,0,0,0,100,1,100.0,400,228.59372,-171.40628051757812
6972271,-73.98272,40.74462,1,15,1,23,Manhattan,Entire home/apt,6,1,2,3,Real Bed,1,0,0,1,0,0,9.9753,,0,0,0,Midtown,150,,,4.661,18.893,11.97,8.862,1.967,14.767,20.485,17.9,19.024,21.916,21.764,13.731,4.189,8.067,0.519,4.158,1.923,1.6,4.359,1.016,2.712,3.557,4.414,4.825,0.707,2.082,5.188,3.486,0.951,70.67,7.199,0.938,1.41,4.464,2.11,1.463,4.045,1.615,243.43,1.636,0.171,0.216,0.512,0.178,0.239,0.285,0,1,0,0,0,25,0,25.0,150,322.418,172.41799926757812
24931508,-73.94779,40.70933,2,9,0,5,Brooklyn,Entire home/apt,2,1,1,1,Real Bed,1,4,95,1,0,0,0.9672,a few days or more,0,0.4,0,Williamsburg,265,,,8.599,21.608,9.63,5.21,4.811,16.801,21.674,13.16,14.155,17.048,17.116,13.071,7.891,8.458,5.416,8.298,6.322,6.346,5.53,5.424,7.615,7.353,4.179,5.158,4.998,4.729,9.348,4.176,5.675,74.582,10.991,5.812,6.28,5.461,6.529,4.96,8.321,6.005,247.302,6.156,0.418,0.492,0.549,0.167,0.28,0.319,1,0,0,0,0,132.5,1,132.5,265,135.76797,-129.23202514648438
644833,-73.94971,40.82312,5,18,0,2,Manhattan,Entire home/apt,10,2.5,3,6,Futon,9,106,89,1,0,0,0.9558,within an hour,3,1,0,Hamilton Heights,410,2380,,4.508,9.897,13.043,17.604,11.018,6.837,13.123,25.471,26.014,28.835,29.519,22.639,5.005,16.894,8.792,5.058,7.246,7.739,13.366,8.161,7.781,5.632,13.574,13.942,9.721,11.157,4.156,12.645,8.248,61.929,2.043,8.893,8.129,13.499,7.074,8.13,5.249,7.545,234.652,7.546,0.356,0.385,0.498,0.101,0.166,0.215,0,1,0,0,0,41,1,41.0,410,286.0156,-123.98440551757812
33660911,-73.91861,40.76222,0,13,0,5,Queens,Entire home/apt,6,1.5,3,3,Real Bed,1,6,100,1,0,0,0.6855,within an hour,3,1,0,Astoria,360,,,4.895,15.339,7.017,11.583,7.494,10.432,15.437,18.393,18.802,21.602,22.46,18.728,4.219,13.36,5.822,5.091,4.974,5.615,9.672,5.044,6.928,4.201,9.072,9.841,6.434,7.558,5.699,8.412,5.456,68.788,6.252,6.303,5.969,9.721,5.029,4.314,5.349,4.951,241.404,5.152,0.562,0.583,0.62,0.161,0.325,0.334,0,0,1,0,0,60,1,60.0,360,233.45111,-126.54888916015625
